Date,How do you describe your gender?,What is your age range?,Did this display help better your understanding of the relationship between the menstrual cycle and sleep?
7/16/2026,Male,18–24,"Yes, clearly"
7/16/2026,Female,18–24,I already understood this
7/16/2026,Female,35–44,I already understood this
7/16/2026,Female,18–24,"Yes, clearly"
7/17/2026,Male,45–54,Somewhat
7/17/2026,Female,25–34,"Yes, clearly"
7/19/2026,Female,25–34,Somewhat
7/19/2026,Female,Under 18,"Yes, clearly"
7/21/2026,Male,45–54,Somewhat
7/21/2026,Male,55+,Not really
7/22/2026,Female,45–54,"Yes, clearly"
7/22/2026,Non-binary,18–24,"Yes, clearly"
7/24/2026,Female,18–24,"Yes, clearly"
7/24/2026,Male,35–44,Somewhat
7/27/2026,Male,18–24,"Yes, clearly"
7/29/2026,Female,Under 18,"Yes, clearly"
7/31/2026,Female,35–44,I already understood this
7/31/2026,Male,45–54,"Yes, clearly"
